r,rho,s,rho_gradient_sign,vxc,exc,ex,weights,atom_index
6.25000039e-07,0.163825547539,5.9140885716375924e-08,1,-0.649899007258,-0.062940186635,-0.0640564338735478,1.84077740644e-17,1
1.68750285e-05,0.163825547547,1.600822725111093e-06,1,-0.649899009011,-0.06294018689,-0.0640564338181712,1.20774190624e-13,1
7.81256104e-05,0.1638255477,7.411830320765017e-06,1,-0.649899045457,-0.06294019214,-0.0640564327123771,7.1907596544e-12,1
0.000214379596,0.163825548748,2.033862828585956e-05,1,-0.649899294857,-0.062940228073,-0.0640564252484622,1.0612622785799999e-10,1
0.000455645761,0.163825553001,4.32283002748175e-05,1,-0.649900303796,-0.062940373588,-0.0640563958135997,7.9253854922e-10,1
0.000831944209,0.163825565749,7.892939058008247e-05,1,-0.649903314579,-0.062940808616,-0.0640563115674345,3.947182172e-09,1
0.00137331358,0.16382559716,0.0001302933170812,1,-0.649910684811,-0.062941876471,-0.064056117938152,1.50240337724e-08,1
0.00210982007,0.163825664656,0.0002001773196764,1,-0.649926379706,-0.062944159009,-0.0640557412824497,4.721692997e-08,1
0.00307156826,0.163825795777,0.000291450252075,1,-0.649956508852,-0.062948561975,-0.0640551038506534,1.28565993356e-07,1
0.00428871378,0.163826031526,0.0004070039024883,1,-0.650009872243,-0.062956406829,-0.0640541545743847,3.131662652e-07,1
0.00579147783,0.163826430246,0.0005497744946166,1,-0.650098476348,-0.062969524261,-0.0640529149245996,6.9784915778e-07,1
0.00761016352,0.163827072039,0.0007227816246746,1,-0.650237979012,-0.062990343092,-0.0640515326708153,1.44592508282e-06,1
0.00977517418,0.163828063822,0.0009291957914369,1,-0.650448024444,-0.063021966659,-0.0640503293379189,2.8198059242e-06,1
0.0123170335,0.163829545156,0.0011724494065402,1,-0.650752432519,-0.063068226702,-0.064049822894964,5.2245723538e-06,1
0.0152664076,0.163831695094,0.0014564105472468,1,-0.651179207972,-0.063133702432,-0.064050709082071,9.264817284e-06,1
0.0186541294,0.163834740456,0.0017856408913486,1,-0.651760325188,-0.063223689577,-0.0640537950908788,1.58173879866e-05,1
0.0225112246,0.163838966186,0.0021657592602934,1,-0.652531230691,-0.063344102538,-0.0640598970477897,2.612297003e-05,1
0.0268689398,0.163844728741,0.002603926451141,1,-0.653529977254,-0.063501292474,-0.0640697324073039,4.1899813402e-05,1
0.0317587738,0.163852473867,0.0031094553921076,1,-0.654795887043,-0.063701768773,-0.0640838511246236,6.548330084e-05,1
0.0372125092,0.163862760532,0.0036945303172485,1,-0.656367648955,-0.063951822373,-0.0641026464605417,9.9995508418e-05,1
0.0432622486,0.163876293197,0.0043749902804993,1,-0.658280821273,-0.064257068792,-0.0641264636382782,0.000149549420036,1
0.0499404516,0.163893964874,0.005171097695505,1,-0.660564851091,-0.064621954881,-0.0641557874317353,0.000219493036,1
0.0572799752,0.16391691343,0.0061081741986631,1,-0.663239923363,-0.065049299913,-0.0641914525686315,0.00031669928104,1
0.0653141169,0.163946593199,0.0072169515441157,1,-0.666314152568,-0.065539957283,-0.0642348015266002,0.00044990837622,1
0.0740766603,0.16398486294,0.0085334596653046,1,-0.669781720424,-0.0660926742,-0.0642877264510468,0.00063013020366,1
0.0836019239,0.164034089509,0.0100982667955557,1,-0.673622430385,-0.066704184309,-0.0643525748322162,0.00087111521442,1
0.093924814,0.164097264124,0.0119549038875888,1,-0.677802759047,-0.067369497859,-0.0644319559405132,0.00118990355958,1
0.105080879,0.16417812493,0.0141473510971314,1,-0.682277955144,-0.068082281704,-0.0645285304739902,0.00160746348458,1
0.117106371,0.164281275906,0.0167165396386451,1,-0.686994346089,-0.06883518853,-0.0646448757248541,0.0021494315474,1
0.130038306,0.164412288208,0.019695923091991,1,-0.691891077356,-0.069620038088,-0.0647834851332261,0.0028469690636,1
0.143914535,0.164577766404,0.0231062920335817,1,-0.696901150006,-0.070427875024,-0.0649468978671329,0.0037377511138,1
0.158773814,0.164785359093,0.0269501356691219,1,-0.701952571642,-0.07124907625,-0.065137890522655,0.0048671071231999,1
0.174655882,0.165043691717,0.0312059838054196,1,-0.706971066072,-0.072073760388,-0.0653596297871628,0.0062893345112,1
0.191601543,0.165362199565,0.0358232827862392,1,-0.711885467753,-0.072892675884,-0.0656156986352768,0.0080692104264,1
0.209652757,0.165750841497,0.0407184582424884,1,-0.716635510813,-0.073698501005,-0.0659099628012787,0.0102837302704,1
0.228852733,0.166219680417,0.0457728793781572,1,-0.721179856485,-0.074487179285,-0.0662463125567623,0.013024106251,1
0.24924603,0.1667783254,0.0508334405147996,1,-0.725501076068,-0.075258719016,-0.0666283643871986,0.0163980643454,1
0.270878671,0.167435242924,0.0557163817574989,1,-0.729604898574,-0.076016961456,-0.0670592143428733,0.020532484324,1
0.293798255,0.168196960787,0.0602147449245767,1,-0.733513364289,-0.076768191278,-0.067541296566844,0.025576434316,1
0.318054091,0.169067206988,0.0641094724475584,1,-0.737254434813,-0.077518965159,-0.0680763350493225,0.031704661078,1
0.34369733,0.170046045047,0.0671836032349551,1,-0.740852411001,-0.07827390575,-0.0686653143483934,0.039121604486,1
0.370781117,0.171129083231,0.0692383432296097,1,-0.74432305742,-0.079034231183,-0.0693083642540893,0.048066020914,1
0.399360747,0.172306842657,0.0701090964791223,1,-0.74767481315,-0.079797434877,-0.0700044678463789,0.058816309144,1
0.429493844,0.173564361955,0.0696789967462058,1,-0.750914304144,-0.080557982343,-0.0707509567093804,0.071696653682,1
0.461240551,0.174881088422,0.0678872740855528,1,-0.754052310042,-0.08130844411,-0.0715428289882468,0.087084117482,1
0.494663729,0.176231054237,0.064730093281225,1,-0.757106370584,-0.082040360303,-0.0723719866741369,0.105416840814,1
0.529829189,0.177583264216,0.0602523935753638,1,-0.760098069027,-0.082744356784,-0.0732265128803748,0.12720353123,1
0.566805929,0.178902139572,0.054530681264746,1,-0.763045479199,-0.083409429987,-0.0740900862626646,0.1530344647839999,1
0.60566641,0.1801477898,0.0476484632875633,1,-0.765952992239,-0.084021640084,-0.0749415642458493,0.183594257992,1
0.646486844,0.181275848338,0.0396677167619791,1,-0.768801107699,-0.0845625438,-0.0757546828798398,0.21967672078,1
0.689347515,0.182236633986,0.0306010665099587,1,-0.771538043612,-0.085007584736,-0.0764977540624991,0.26220216426,1
0.734333136,0.182973509266,0.0203898214665823,1,-0.774074003458,-0.085324509133,-0.0771332271083494,0.31223759886,1
0.78153324,0.183420503181,0.0088924541701214,1,-0.776278384947,-0.08547186736,-0.0776170471377686,0.37102036928,1
0.831042609,0.183499532191,0.0041135500344279,-1,-0.777980335699,-0.085397851086,-0.0778978913329067,0.43998585396,1
0.88296175,0.183117848371,0.018916077172728,-1,-0.778973446822,-0.085039993721,-0.0779165708255094,0.5208000197,1
0.93739743,0.182166605634,0.0358415080580638,-1,-0.779025347537,-0.084326426787,-0.0776060976055004,0.6153977624,1
0.994463261,0.180521587558,0.0552216508379863,-1,-0.777892095436,-0.083179280871,-0.0768930591094001,0.72602819436,1
1.05428036,0.178047106212,0.0773610395611669,-1,-0.775335747817,-0.0815204349,-0.0757009403627319,0.85530826788,1
